name,website,city,source
Jane Doe,https://www.springfieldtoyota.test/staff,Springfield,scrape
Robert (Bob) Cohen,springfieldtoyota.test,Springfield,scrape
LIZ DELUCA,https://honda-austin.test,Austin,scrape
jose medero,honda-austin.test,Austin,scrape
Leo Karl III,https://www.autonation.test/locations/dallas,Dallas,scrape
Oliver C.,autonation.test,Dallas,scrape
Ann Lee,gmail.com,Remote,scrape
Marie D'Andrea,https://www.springfieldtoyota.test,Springfield,scrape
Chris Rothbart-Mooney,honda-austin.test,Austin,scrape
Jane Doe,https://www.springfieldtoyota.test,Springfield,scrape
